smiles1,smiles2,label
C=CCSS(=O)CC=C,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0
CCC(C)C1OC2(CCC1C)CC3CC(C\C=C(C)\C(OC4CC(OC)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)\C=C\C=C\6COC7C(O)C(=CC(C(=O)O3)C67O)C)O2,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,0
CC1CCC2C(C)C(OC3OC4(C)CCC1C23OO4)OC(=O)CCC(O)=O,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0
OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,NC(=O)C1=CC=C(N)N=C1,0
NC(=O)C1=CC=C(N)N=C1,C=CCSS(=O)CC=C,0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,CN(C)C(=N)NC(=N)N,0
[Na+].[O-][As]=O,CN(C)C(=N)NC(=N)N,0
CC1=CC(=C(C=C1)C(C)C)O,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O.[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)[C@@H](C)CC)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,0
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,C=CCSS(=O)CC=C,0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,0
CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,0
C=CCSS(=O)CC=C,CN(C)C(=N)NC(=N)N,0
