smiles1,smiles2,label
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],0
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,0
CC1=CC(=C(C=C1)C(C)C)O,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,0
CN1C=NC2=C1C(=O)NC(=O)N2C,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0
CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,0
COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,0
C1=CC(=NC=C1C(=O)N)N,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,CC1=NC=C(N1CCO)[N+](=O)[O-],0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,C1=CC(=NC=C1C(=O)N)N,0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,0
C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,CC(=N)N=[N+]=[N-],0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,0
CN(C)C(=N)NC(=N)N,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,0
CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,0
C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,CN(C)C(=N)NC(=N)N,0
CC1=C(C=C(C=C1)C(C)C)O,CC1=NC=C(N1CCO)[N+](=O)[O-],0
C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,0
CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,CN(C)C(=N)NC(=N)N,0
CC1=NC(=C(C)N=C1C)C,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],0
C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,0
C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,CN(C)C(=N)NC(=N)N,0
C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,CN(C)C(=N)NC(=N)N,0
CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,0
CC(=N)N=[N+]=[N-],CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0
CC1=C(C=C(C=C1)C(C)C)O,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,0
CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,CC1=NC=C(N1CCO)[N+](=O)[O-],0
O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,CC1=NC=C(N1CCO)[N+](=O)[O-],0
C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,0
CN1C=NC2=C1C(=O)NC(=O)N2C,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,0
CC1=CC(=C(C=C1)C(C)C)O,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,0
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,0
CC(=N)N=[N+]=[N-],COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,0
CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0
COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,CC1=CC(=C(C=C1)C(C)C)O,0
CC1=C(C=C(C=C1)C(C)C)O,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],0
C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,0
C1=CC(=NC=C1C(=O)N)N,CC1=NC(=C(C)N=C1C)C,0
CC1=NC(=C(C)N=C1C)C,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],CC1=NC(=C(C)N=C1C)C,0
CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,0
CN(C)C(=N)NC(=N)N,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0
COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,CN(C)C(=N)NC(=N)N,0
CC1=CC(=C(C=C1)C(C)C)O,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],0
